wosarticle__ti	wosarticle__py	docauthinst__AU	wosarticle__doc	wosarticle__di	relevance_netrelevant
Hierarchical scoring rule based smart dynamic electricity pricing scheme	2015	"Ito, T.; <br>Chakraborty, S.; <br>Ito, T."	"<a href=""/scoping/document/47/809883"">809883</a>"	http://dx.doi.org/10.1007/978-4-431-55209-3_8	0
Estimating the benefits of electric vehicle smart charging at non-residential locations: A data-driven approach	2015	"Kiliccote, S.; <br>Kara, E.C.; <br>Macdonald, J.S.; <br>Black, D.; <br>Bérges, M.; <br>Hug, G.; <br>Kiliccote, S."	"<a href=""/scoping/document/47/809900"">809900</a>"	http://dx.doi.org/10.1016/j.apenergy.2015.05.072	0
A simulation model with multi-attribute utility functions for energy consumption scheduling in a smart grid	2015	"Zheng, Q.P.; <br>Khadgi, P.; <br>Bai, L.; <br>Evans, G.; <br>Zheng, Q.P."	"<a href=""/scoping/document/47/809913"">809913</a>"	http://dx.doi.org/10.1007/s12667-015-0153-9	0
An optimization framework for data centers to minimize electric bill under day-ahead dynamic energy prices while providing regulation services	2015	"Pedram, M.; <br>Ghasemi-Gol, M.; <br>Wang, Y.; <br>Pedram, M."	"<a href=""/scoping/document/47/809931"">809931</a>"	http://dx.doi.org/10.1109/IGCC.2014.7039179	0
A design scheme of the smart appliances to minimize energy cost without reducing customer's utility	2015	"Yoon, Y.T.; <br>Song, H.-Y.; <br>Park, S.C.; <br>Yoon, Y.T."	"<a href=""/scoping/document/47/809935"">809935</a>"	http://dx.doi.org/10.1109/PESGM.2015.7286369	0
		"Piazza, F.; <br>Severini, M.; <br>Squartini, S.; <br>Fagiani, M.; <br>Piazza, F."	"<a href=""/scoping/document/47/809956"">809956</a>"		0
SCANERGY: A scalable and modular system for energy trading between prosumers (demonstration)	2015	"Nowé, A.; <br>Mihaylov, M.; <br>Jurado, S.; <br>Avellana, N.; <br>Razo-Zapata, I.; <br>Van Moffaert, K.; <br>Arco, L.; <br>Bezunartea, M.; <br>Grau, I.; <br>Cañadas, A.; <br>Nowé, A."	"<a href=""/scoping/document/47/809957"">809957</a>"		0
Load scheduling based on an advanced real-time price forecasting model	2015	"Lim, E.G.; <br>Luo, X.; <br>Zhu, X.; <br>Lim, E.G."	"<a href=""/scoping/document/47/809963"">809963</a>"	http://dx.doi.org/10.1109/CIT/IUCC/DASC/PICOM.2015.186	0
Optimal dispatch in residential community with DGs and storage under real-time pricing	2015	"Yan, W.; <br>Wang, Q.; <br>Yang, Q.; <br>Yan, W."	"<a href=""/scoping/document/47/809965"">809965</a>"	http://dx.doi.org/10.1109/ICInfA.2015.7279292	0
Randomized automated demand response for real-time pricing	2015	"Maruta, I.; <br>Azuma, S.-I.; <br>Nakamoto, T.; <br>Izumi, S.; <br>Kitao, T.; <br>Maruta, I."	"<a href=""/scoping/document/47/809985"">809985</a>"	http://dx.doi.org/10.1109/ISGT.2015.7131807	0
Economic evaluations of residential energy systems based on the prediction-operational planning-control method using time-of-use prices	2015	"Amano, Y.; <br>Ogata, R.; <br>Yoshida, A.; <br>Fujimoto, Y.; <br>Murata, N.; <br>Wakao, S.; <br>Tanabe, S.-I.; <br>Amano, Y."	"<a href=""/scoping/document/47/809986"">809986</a>"		0
Demand response: Understanding the rational behavior of consumers in a Peak Time Rebate Program	2015	"Ruiz, F.; <br>Vuelvas, J.; <br>Ruiz, F."	"<a href=""/scoping/document/47/809987"">809987</a>"	http://dx.doi.org/10.1109/CCAC.2015.7345196	0
An empirical study of real-time feedback and dynamic pricing effects on electric power consumption: Field experiment on a remote island in Japan	2015	"Awata, T.; <br>Shimada, K.; <br>Ochi, Y.; <br>Matsumoto, T.; <br>Matsugi, H.; <br>Awata, T."	"<a href=""/scoping/document/47/810009"">810009</a>"		1
Residential energy consumption scheduling techniques under smart grid environment	2015	"Shanti Swarup, K.; <br>Santosh Kumar, J.; <br>Shanti Swarup, K."	"<a href=""/scoping/document/47/810036"">810036</a>"	http://dx.doi.org/10.1007/978-3-319-25479-1_1	0
Examining the feedback response of residential electricity consumption towards changes in its determinants: Evidence from Malaysia	2015	"Bekhet, H.A.; <br>Ivy-Yap, L.L.; <br>Bekhet, H.A."	"<a href=""/scoping/document/47/810094"">810094</a>"		0
Modeling and optimal dispatch for residential load based on home energy management system under time-of-use pricing	2015	"Li, Y.; <br>Zhou, L.; <br>Li, Y."	"<a href=""/scoping/document/47/810105"">810105</a>"	http://dx.doi.org/10.13335/j.1000-3673.pst.2015.02.011	0
A privacy-friendly game-theoretic distributed scheduling system for domestic appliances	2015	"Verticale, G.; <br>Rottondi, C.; <br>Barbato, A.; <br>Verticale, G."	"<a href=""/scoping/document/47/810123"">810123</a>"	http://dx.doi.org/10.1109/SmartGridComm.2014.7007756	0
Design of an agent-based simulator for real-time estimation of power consumption/generation in residential buildings	2015	"Martins, J.F.; <br>Sa, A.; <br>Lopes, R.A.; <br>Martins, J.F."	"<a href=""/scoping/document/47/810124"">810124</a>"	http://dx.doi.org/10.1109/IECON.2015.7392698	0
Orderly charging control based on peak-valley electricity tariffs for household electric vehicles of residential quarter	2015	"Liang, Z.; <br>Su, H.; <br>Liang, Z."	"<a href=""/scoping/document/47/810131"">810131</a>"	http://dx.doi.org/10.16081/j.issn.1006-6047.2015.06.003	0
Optimal residential load scheduling based on time varying pricing scheme	2015	"Elmenreich, W.; <br>Haider, H.T.; <br>See, O.H.; <br>Elmenreich, W."	"<a href=""/scoping/document/47/810137"">810137</a>"	http://dx.doi.org/10.1109/SCORED.2015.7449326	0
Bandwidth-sharing in LHCONE, an analysis of the problem	2015	"Wildish, T.; <br>Wildish, T."	"<a href=""/scoping/document/47/810145"">810145</a>"	http://dx.doi.org/10.1088/1742-6596/664/5/052043	0
Consumers' privacy concerns and implications for a privacy preserving Smart Grid architecture-Results of an Austrian study	2015	"Dobelt, S; <br>Jung, M; <br>Busch, M; <br>Tscheligi, M"	"<a href=""/scoping/document/47/810618"">810618</a>"	http://dx.doi.org/10.1016/j.erss.2015.08.022	1
A real-life assessment on the effect of smart appliances for shifting households' electricity demand	2015	"Kobus, CBA; <br>Klaassen, EAM; <br>Mugge, R; <br>Schoormans, JPL"	"<a href=""/scoping/document/47/810619"">810619</a>"	http://dx.doi.org/10.1016/j.apenergy.2015.01.073	0
Generating Realistic Dynamic Prices and Services for the Smart Grid	2015	"Pagani, GA; <br>Aiello, M"	"<a href=""/scoping/document/47/810623"">810623</a>"	http://dx.doi.org/10.1109/JSYST.2014.2320800	0
A distributed demand-side management framework for the smart grid	2015	"Barbato, A; <br>Capone, A; <br>Chen, L; <br>Martignon, F; <br>Paris, S"	"<a href=""/scoping/document/47/810624"">810624</a>"	http://dx.doi.org/10.1016/j.comcom.2014.11.001	0
SmartCare: Energy-Efficient Long-Term Physical Activity Tracking Using Smartphones	2015	"Liu, H; <br>Li, R; <br>Liu, SC; <br>Tian, SBA; <br>Du, JZ"	"<a href=""/scoping/document/47/810625"">810625</a>"	http://dx.doi.org/10.1109/TST.2015.7173451	0
Probabilistic Modeling and Statistical Analysis of Aggregated Electric Vehicle Charging Station Load	2015	"Louie, H.M.; <br>Louie, H.M."	"<a href=""/scoping/document/47/810647"">810647</a>"	http://dx.doi.org/10.1080/15325008.2015.1080770	0
Bus.py: A GridLAB-D communication interface for Smart distribution Grid simulations	2015	"Siegel, H.J.; <br>Hansen, T.M.; <br>Palmintier, B.; <br>Suryanarayanan, S.; <br>Maciejewski, A.A.; <br>Siegel, H.J."	"<a href=""/scoping/document/47/810648"">810648</a>"	http://dx.doi.org/10.1109/PESGM.2015.7286003	0
Electric vehicle smart charging using dynamic price signal	2015	"Traeholt, C.; <br>Martinenas, S.; <br>Pedersen, A.B.; <br>Marinelli, M.; <br>Andersen, P.B.; <br>Traeholt, C."	"<a href=""/scoping/document/47/810649"">810649</a>"	http://dx.doi.org/10.1109/IEVC.2014.7056150	0
Optimal demand side response to real time price signal using electric vehicles	2015	"Infield, D.; <br>Wang, Y.; <br>Infield, D."	"<a href=""/scoping/document/47/810704"">810704</a>"		0
Demand response: A solution to manage loads in the smart grid	2015	"Ruez, T.; <br>Picault, D.; <br>Cottet, O.; <br>Ruez, T."	"<a href=""/scoping/document/47/810738"">810738</a>"	http://dx.doi.org/10.1109/EEEIC.2015.7165186	0
Coordination of smart-household activities for the efficient operation of intelligent distribution systems	2015	"Bakirtzis, A.G.; <br>Paterakis, N.G.; <br>Santos, S.F.; <br>Catalao, J.P.S.; <br>Erdinc, O.; <br>Bakirtzis, A.G."	"<a href=""/scoping/document/47/810744"">810744</a>"	http://dx.doi.org/10.1109/ISGTEurope.2014.7028977	0
A Survey of Home Energy Management for Residential Customers	2015	"Bashir, M.; <br>Ullah, I.; <br>Javaid, N.; <br>Imran, M.; <br>Khan, Z.A.; <br>Qasim, U.; <br>Alnuem, M.; <br>Bashir, M."	"<a href=""/scoping/document/47/810749"">810749</a>"	http://dx.doi.org/10.1109/AINA.2015.251	0
Benefits and challenges of electrical demand response: A critical review	2014	"O'Connell, N; <br>Pinson, P; <br>Madsen, H; <br>O'Malley, M"	"<a href=""/scoping/document/47/11179"">11179</a>"	http://dx.doi.org/10.1016/j.rser.2014.07.098	0
A load prioritization model for a smart demand responsive energy management system in the residential sector	2014	"Korkua, S.K.; <br>Thinsurat, K.; <br>Korkua, S.K.; <br>Thinsurat, K.; <br>Thinsurat, K."	"<a href=""/scoping/document/47/18035"">18035</a>"		0
Feedback on electricity usage for home energy management: A social experiment in a local village of cold region	2014	"Matsui, K; <br>Ochiai, H; <br>Yamagata, Y"	"<a href=""/scoping/document/47/37835"">37835</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.01.049	1
Smart metering for residential energy efficiency: The use of community based social marketing for behavioural change and smart grid introduction	2014	"Anda, M; <br>Temmen, J"	"<a href=""/scoping/document/47/102393"">102393</a>"	http://dx.doi.org/10.1016/j.renene.2013.11.020	0
Estimating the Impact of Time-of-Use Pricing on Irish Electricity Demand	2014	"Di Cosmo, V; <br>Lyons, S; <br>Nolan, A"	"<a href=""/scoping/document/47/111008"">111008</a>"	http://dx.doi.org/10.5547/01956574.35.2.6	0
Demand response based household electricity intelligent interactive terminal design	2014	"Lin, S.F.; <br>Li, D.D.; <br>Ren, J.W.; <br>Xu, Y.X.; <br>Zheng, X.X.; <br>Lin, S.F."	"<a href=""/scoping/document/47/121867"">121867</a>"	http://dx.doi.org/10.4028/www.scientific.net/AMR.860-863.1853	0
Smarter than metering? Coupling smart meters and complementary currencies to reinforce the motivation of households for energy savings	2014	"Joachain, H; <br>Klopfert, F"	"<a href=""/scoping/document/47/129844"">129844</a>"	http://dx.doi.org/10.1016/j.ecolecon.2014.05.017	0
Design Framework of Household Appliance for Users' Sustainable Behaviors	2014	"Cheng, YT; <br>Shih, LH; <br>Ha, J"	"<a href=""/scoping/document/47/148303"">148303</a>"		0
PEV Storage in Multi-Bus Scheduling Problems	2014	"Momber, I; <br>Morales-Espana, G; <br>Ramos, A; <br>Gomez, T"	"<a href=""/scoping/document/47/156255"">156255</a>"	http://dx.doi.org/10.1109/TSG.2013.2290594	0
Understanding families' motivations for sustainable behaviors	2014	"Barreto, ML; <br>Szostek, A; <br>Karapanos, E; <br>Nunes, NJ; <br>Pereira, L; <br>Quintal, F"	"<a href=""/scoping/document/47/194960"">194960</a>"	http://dx.doi.org/10.1016/j.chb.2014.07.042	1
Behavioral Environmental Economics: Promises and Challenges	2014	"Croson, R; <br>Treich, N"	"<a href=""/scoping/document/47/221690"">221690</a>"	http://dx.doi.org/10.1007/s10640-014-9783-y	0
Optimal Energy Consumption Model for Smart Grid Households With Energy Storage	2014	"Rajasekharan, J; <br>Koivunen, V"	"<a href=""/scoping/document/47/414251"">414251</a>"	http://dx.doi.org/10.1109/JSTSP.2014.2361315	0
Innovation in low-energy residential renovation: UK and France	2014	"Killip, G; <br>Fawcett, T; <br>Janda, KB"	"<a href=""/scoping/document/47/450867"">450867</a>"	http://dx.doi.org/10.1680/ener.14.00011	0
Network Ecoinformatics: Development of a Social Ecofeedback System to Drive Energy Efficiency in Residential Buildings	2014	"Gulbinas, R; <br>Jain, RK; <br>Taylor, JE; <br>Peschiera, G; <br>Golparvar-Fard, M"	"<a href=""/scoping/document/47/460284"">460284</a>"	http://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000319	0
Optimal capacity and expansion planning methodology of PV and battery in smart house	2014	"Yoza, A; <br>Yona, A; <br>Senjyu, T; <br>Funabashi, T"	"<a href=""/scoping/document/47/581855"">581855</a>"	http://dx.doi.org/10.1016/j.renene.2014.03.030	0
Effects of real-time eco-feedback and organizational network dynamics on energy efficient behavior in commercial buildings	2014	"Gulbinas, R; <br>Taylor, JE"	"<a href=""/scoping/document/47/608881"">608881</a>"	http://dx.doi.org/10.1016/j.enbuild.2014.08.017	0
Potential capability estimation for real time electricity demand response of sustainable manufacturing systems using Markov Decision Process	2014	"Sun, ZY; <br>Li, L"	"<a href=""/scoping/document/47/632641"">632641</a>"	http://dx.doi.org/10.1016/j.jclepro.2013.08.033	0
20:60:20-Differences in Energy Behaviour and Conservation between and within Households with Electricity Monitors	2014	"Murtagh, N; <br>Gatersleben, B; <br>Uzzell, D"	"<a href=""/scoping/document/47/650163"">650163</a>"	http://dx.doi.org/10.1371/journal.pone.0092019	0
Implementing renewable energy portfolio standards: The good, the bad, and the ugly in a two state comparison	2014	Schelly, C	"<a href=""/scoping/document/47/650295"">650295</a>"	http://dx.doi.org/10.1016/j.enpol.2013.11.075	0
ENERGY EFFICIENCY LANDSCAPES: AN ENERGY EFFICIENCY VISUAL TOOL FOR SUPPORTING DECISION MAKING IN BUILDINGS	2014	"Wilby, MR; <br>Gonzalez, ABR; <br>Gomez, FJA; <br>Diaz, JJV"	"<a href=""/scoping/document/47/650962"">650962</a>"		0
Integrating persuasive technology with energy delegates for energy conservation and carbon emission reduction in a university campus	2014	"Emeakaroha, A; <br>Ang, CS; <br>Yan, Y; <br>Hopthrow, T"	"<a href=""/scoping/document/47/652221"">652221</a>"	http://dx.doi.org/10.1016/j.energy.2014.08.027	0
A persuasive feedback support system for energy conservation and carbon emission reduction in campus residential buildings	2014	"Emeakaroha, A; <br>Ang, CS; <br>Yan, Y; <br>Hopthrow, T"	"<a href=""/scoping/document/47/658370"">658370</a>"	http://dx.doi.org/10.1016/j.enbuild.2014.07.071	1
Metric and Scale Design as Choice Architecture Tools	2014	"Camilleri, AR; <br>Larrick, RP"	"<a href=""/scoping/document/47/726539"">726539</a>"	http://dx.doi.org/10.1509/jppm.12.151	0
On the relation between architectural considerations and heating energy performance of Turkish residential buildings in Izmir	2014	"Kazanasmaz, T; <br>Uygun, IE; <br>Akkurt, GG; <br>Turhan, C; <br>Ekmen, KE"	"<a href=""/scoping/document/47/727275"">727275</a>"	http://dx.doi.org/10.1016/j.enbuild.2013.12.036	0
Smart pricing scheme: A multi-layered scoring rule application	2014	"Chakraborty, S; <br>Ito, T; <br>Senjyu, T"	"<a href=""/scoping/document/47/729028"">729028</a>"	http://dx.doi.org/10.1016/j.eswa.2013.12.002	0
Real-time detection of anomalous power consumption	2014	"Chou, JS; <br>Telaga, AS"	"<a href=""/scoping/document/47/737536"">737536</a>"	http://dx.doi.org/10.1016/j.rser.2014.01.088	0
Turning green: Agent-based modeling of the adoption of dynamic electricity tariffs	2014	"Kowalska-Pyzalska, A; <br>Maciejowska, K; <br>Suszczynski, K; <br>Sznajd-Weron, K; <br>Weron, R"	"<a href=""/scoping/document/47/763765"">763765</a>"	http://dx.doi.org/10.1016/j.enpol.2014.04.021	0
Feeding back about eco-feedback: How do consumers use and respond to energy monitors?	2014	"Buchanan, K; <br>Russo, R; <br>Anderson, B"	"<a href=""/scoping/document/47/763786"">763786</a>"	http://dx.doi.org/10.1016/j.enpol.2014.05.008	0
Measuring the effect of procrastination and environmental awareness on households' energy-saving behaviours: An empirical approach	2014	Lillemo, SC	"<a href=""/scoping/document/47/766564"">766564</a>"	http://dx.doi.org/10.1016/j.enpol.2013.10.077	1
Demand response with locational dynamic pricing to support the integration of renewables	2014	"Dupont, B; <br>De Jonghe, C; <br>Olmos, L; <br>Belmans, R"	"<a href=""/scoping/document/47/766575"">766575</a>"	http://dx.doi.org/10.1016/j.enpol.2013.12.058	0
Residential energy-efficient lighting adoption survey	2014	"Hicks, AL; <br>Theis, TL"	"<a href=""/scoping/document/47/801656"">801656</a>"	http://dx.doi.org/10.1007/s12053-013-9226-6	0
Modelling future uptake of distributed energy resources under alternative tariff structures	2014	"Higgins, A; <br>Grozev, G; <br>Ren, ZG; <br>Garner, S; <br>Walden, G; <br>Taylor, M"	"<a href=""/scoping/document/47/808496"">808496</a>"	http://dx.doi.org/10.1016/j.energy.2014.07.010	0
Smart Sensors Enable Smart Air Conditioning Control	2014	"Cheng, CC; <br>Lee, DS"	"<a href=""/scoping/document/47/808500"">808500</a>"	http://dx.doi.org/10.3390/s140611179	0
User satisfaction aware routing and energy modeling of polymorphic network on chip architecture	2014	"Ponpandi, SD; <br>Tyagi, A"	"<a href=""/scoping/document/47/808506"">808506</a>"	http://dx.doi.org/10.1016/j.compeleceng.2014.08.012	0
Are Queensland Residents Willing and Able to Respond to Time-Varying Electricity Prices?	2014	None	"<a href=""/scoping/document/47/808525"">808525</a>"	http://dx.doi.org/10.1111/1467-8462.12063	1
Comparing Energy and Cost Optimization in Distributed Energy Systems Management	2014	"Facci, AL; <br>Andreassi, L; <br>Martini, F; <br>Ubertini, S"	"<a href=""/scoping/document/47/808529"">808529</a>"	http://dx.doi.org/10.1115/1.4027155	0
A New Intelligent Neuro-Fuzzy Paradigm for Energy-Efficient Homes	2014	"Shahgoshtasbi, D; <br>Jamshidi, MM"	"<a href=""/scoping/document/47/808535"">808535</a>"	http://dx.doi.org/10.1109/JSYST.2013.2291943	0
DC microgrid power flow optimization by multi-layer supervision control. Design and experimental validation	2014	"Sechilariu, M; <br>Wang, BC; <br>Locment, F; <br>Jouglet, A"	"<a href=""/scoping/document/47/808544"">808544</a>"	http://dx.doi.org/10.1016/j.enconman.2014.03.010	0
Who gains from hourly time-of-use retail prices on electricity? An analysis of consumption profiles for categories of Danish electricity customers	2014	"Andersen, FM; <br>Larsen, HV; <br>Kitzing, L; <br>Morthorst, PE"	"<a href=""/scoping/document/47/808547"">808547</a>"	http://dx.doi.org/10.1002/wene.120	0
Energy feedback technology: a review and taxonomy of products and platforms	2014	"Karlin, B; <br>Ford, R; <br>Squiers, C"	"<a href=""/scoping/document/47/808550"">808550</a>"	http://dx.doi.org/10.1007/s12053-013-9227-5	0
Near real time load shifting control for residential electricity prosumers under designed and market indexed pricing models	2014	"Di Giorgio, A; <br>Liberati, F"	"<a href=""/scoping/document/47/808556"">808556</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.04.032	0
A metric for characterizing the effectiveness of thermal mass in building materials	2014	"Talyor, RA; <br>Miner, M"	"<a href=""/scoping/document/47/808563"">808563</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.04.061	0
Variable electricity tariff type preferences of residential customers - Results of an empirical study in Germany	2014	"Gerpott, TJ; <br>Paukert, M"	"<a href=""/scoping/document/47/808565"">808565</a>"		0
Optimal scheduling of household appliances for demand response	2014	"Setlhaolo, D; <br>Xia, XH; <br>Zhang, JF"	"<a href=""/scoping/document/47/808566"">808566</a>"	http://dx.doi.org/10.1016/j.epsr.2014.04.012	0
Optimal electricity rate structures for peak demand reduction using economic model predictive control	2014	"Cole, WJ; <br>Morton, DP; <br>Edgar, TF"	"<a href=""/scoping/document/47/808572"">808572</a>"	http://dx.doi.org/10.1016/j.jprocont.2014.04.014	0
Saving power to conserve your reputation? The effectiveness of private versus public information	2014	"Delmas, MA; <br>Lessem, N"	"<a href=""/scoping/document/47/808575"">808575</a>"	http://dx.doi.org/10.1016/j.jeem.2013.12.009	0
Review on superconducting transition edge sensor based single photon detector	2014	"Zhang, QY; <br>Dong, WH; <br>He, GF; <br>Li, TF; <br>Liu, JS; <br>Chen, W"	"<a href=""/scoping/document/47/808576"">808576</a>"	http://dx.doi.org/10.7498/aps.63.200303	0
Machine-learning methodology for energy efficient routing	2014	"Masikos, M; <br>Demestichas, K; <br>Adamopoulou, E; <br>Theologou, M"	"<a href=""/scoping/document/47/808579"">808579</a>"	http://dx.doi.org/10.1049/iet-its.2013.0006	0
Retrofitting social housing: reflections by tenants on adopting and living with retrofit technology	2014	"Brown, P; <br>Swan, W; <br>Chahal, S"	"<a href=""/scoping/document/47/808580"">808580</a>"	http://dx.doi.org/10.1007/s12053-013-9245-3	0
BACnet-EnOcean Smart Grid Gateway and its application to demand response in buildings	2014	"Li, YC; <br>Hong, SH"	"<a href=""/scoping/document/47/808588"">808588</a>"	http://dx.doi.org/10.1016/j.enbuild.2014.04.022	0
Understanding Energy Behaviors of Thread Management Constructs	2014	"Pinto, G; <br>Castor, F; <br>Liu, YD"	"<a href=""/scoping/document/47/808593"">808593</a>"	http://dx.doi.org/10.1145/2660193.2660235	0
Distributed Estimation and Control Systems over Communication Networks	2014	"Rubio, FR; <br>Millan, P; <br>Orihuela, L; <br>Vivas, C"	"<a href=""/scoping/document/47/808601"">808601</a>"	http://dx.doi.org/10.1016/j.riai.2014.08.001	0
Improved photovoltaic self-consumption with appliance scheduling in 200 single-family buildings	2014	Widen, J	"<a href=""/scoping/document/47/808605"">808605</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.04.008	0
Further exploring the potential of residential demand response programs in electricity distribution	2014	"Bartusch, C; <br>Alvehag, K"	"<a href=""/scoping/document/47/808611"">808611</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.03.054	1
Assessing occupants' energy load variation through existing wireless network infrastructure in commercial and educational buildings	2014	"Chen, JY; <br>Ahn, CB"	"<a href=""/scoping/document/47/808618"">808618</a>"	http://dx.doi.org/10.1016/j.enbuild.2014.07.053	0
Economic optimization of smart distribution networks considering real-time pricing	2014	"Zhang, H; <br>Zhao, DM; <br>Gu, CH; <br>Li, FR; <br>Wang, B"	"<a href=""/scoping/document/47/808619"">808619</a>"	http://dx.doi.org/10.1007/s40565-014-0086-7	0
Power-Aware Cloud Metering	2014	"Narayan, A; <br>Rao, S"	"<a href=""/scoping/document/47/808630"">808630</a>"	http://dx.doi.org/10.1109/TSC.2013.22	0
How the type of input function affects the dynamic response of conducting polymer actuators	2014	"Xiang, XC; <br>Alici, G; <br>Mutlu, R; <br>Li, WH"	"<a href=""/scoping/document/47/808634"">808634</a>"	http://dx.doi.org/10.1088/0964-1726/23/10/105008	0
Financial Opportunities by Implementing Renewable Sources and Storage Devices for Households Under ERCOT Demand Response Programs Design	2014	"Liu, M; <br>Lee, WJ; <br>Lee, LK"	"<a href=""/scoping/document/47/808641"">808641</a>"	http://dx.doi.org/10.1109/TIA.2013.2292993	0
"Is Mandating ""Smart Meters"" Smart?"	2014	Leautier, TO	"<a href=""/scoping/document/47/808642"">808642</a>"	http://dx.doi.org/10.5547/01956574.35.4.6	0
Recent Advances in Solution-Processed White Organic Light-Emitting Materials and Devices	2014	"Zhang, BH; <br>Liu, LH; <br>Xie, ZY"	"<a href=""/scoping/document/47/808648"">808648</a>"	http://dx.doi.org/10.1002/ijch.201400056	0
Mechanical awareness from sensing artificial muscles: Experiments and modeling	2014	"Martinez, JG; <br>Otero, TF"	"<a href=""/scoping/document/47/808650"">808650</a>"	http://dx.doi.org/10.1016/j.snb.2013.12.099	0
A 1.5 mW 68 dB SNDR 80 Ms/s 2x Interleaved Pipelined SAR ADC in 28 nm CMOS	2014	"van der Goes, F; <br>Ward, CM; <br>Astgimath, S; <br>Yan, H; <br>Riley, J; <br>Zeng, Z; <br>Mulder, J; <br>Wang, SJ; <br>Bult, K"	"<a href=""/scoping/document/47/808655"">808655</a>"	http://dx.doi.org/10.1109/JSSC.2014.2361774	0
Smart charging and appliance scheduling approaches to demand side management	2014	"Adika, CO; <br>Wang, LF"	"<a href=""/scoping/document/47/808657"">808657</a>"	http://dx.doi.org/10.1016/j.ijepes.2013.12.004	0
Using GENI for experimental evaluation of Software Defined Networking in smart grids	2014	"Sydney, A; <br>Ochs, DS; <br>Scoglio, C; <br>Gruenbacher, D; <br>Miller, R"	"<a href=""/scoping/document/47/808663"">808663</a>"	http://dx.doi.org/10.1016/j.bjp.2013.12.021	0
Community-scale residential air conditioning control for effective grid management	2014	"Cole, WJ; <br>Rhodes, JD; <br>Gorman, W; <br>Perez, KX; <br>Webber, ME; <br>Edgar, TF"	"<a href=""/scoping/document/47/808667"">808667</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.05.067	0
Non-Cooperative Decentralized Charging of Homogeneous Households' Batteries in a Smart Grid	2014	"Adika, CO; <br>Wang, LF"	"<a href=""/scoping/document/47/808672"">808672</a>"	http://dx.doi.org/10.1109/TSG.2014.2302449	0
The dynamic behavior of a cantilever beam coupled to a non-ideal unbalanced motor through numerical and experimental analysis	2014	"Goncalves, PJP; <br>Silveira, M; <br>Pontes, BR; <br>Balthazar, JM"	"<a href=""/scoping/document/47/808692"">808692</a>"	http://dx.doi.org/10.1016/j.jsv.2014.05.039	0
Exploring perceived control in domestic electricity demand-side response	2014	"Fell, MJ; <br>Shipworth, D; <br>Huebner, GM; <br>Elwell, CA"	"<a href=""/scoping/document/47/808696"">808696</a>"	http://dx.doi.org/10.1080/09537325.2014.974530	0
A qualitative study of perspectives on household and societal impacts of demand response	2014	"Murtagh, N; <br>Gatersleben, B; <br>Uzzell, D"	"<a href=""/scoping/document/47/808704"">808704</a>"	http://dx.doi.org/10.1080/09537325.2014.974529	0
Simulations of cosmic rays in large-scale structures: numerical and physical effects	2014	"Vazza, F; <br>Gheller, C; <br>Bruggen, M"	"<a href=""/scoping/document/47/808706"">808706</a>"	http://dx.doi.org/10.1093/mnras/stu126	0
Serious games for energy social science research	2014	"Wood, G; <br>van der Horst, D; <br>Day, R; <br>Bakaoukas, AG; <br>Petridis, P; <br>Liu, SL; <br>Jalil, L; <br>Gaterell, M; <br>Smithson, E; <br>Barnham, J; <br>Harvey, D; <br>Yang, BQ; <br>Pisithpunth, C"	"<a href=""/scoping/document/47/808714"">808714</a>"	http://dx.doi.org/10.1080/09537325.2014.978277	0
Demand response for residential buildings based on dynamic price of electricity	2014	"Yoon, JH; <br>Bladick, R; <br>Novoselac, A"	"<a href=""/scoping/document/47/808725"">808725</a>"	http://dx.doi.org/10.1016/j.enbuild.2014.05.002	0
Optimal household energy management using V2H flexibilities	2014	"Dargahi, A; <br>Ploix, S; <br>Soroudi, A; <br>Wurtz, F"	"<a href=""/scoping/document/47/808727"">808727</a>"	http://dx.doi.org/10.1108/COMPEL-10-2012-0223	0
Reducing household electricity demand through smart metering: The role of improved information about energy saving	2014	"Carroll, J; <br>Lyons, S; <br>Denny, E"	"<a href=""/scoping/document/47/808730"">808730</a>"	http://dx.doi.org/10.1016/j.eneco.2014.07.007	1
Human-based energy retrofits in residential buildings: A cost-effective alternative to traditional physical strategies	2014	"Pisello, AL; <br>Asdrubali, F"	"<a href=""/scoping/document/47/808739"">808739</a>"	http://dx.doi.org/10.1016/j.apenergy.2014.07.049	0
Impact of Social Network Type and Structure on Modeling Normative Energy Use Behavior Interventions	2014	"Anderson, K; <br>Lee, S; <br>Menassa, C"	"<a href=""/scoping/document/47/808742"">808742</a>"	http://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000314	0
Conceptual Framework to Optimize Building Energy Consumption by Coupling Distributed Energy Simulation and Occupancy Models	2014	"Menassa, CC; <br>Kamat, VR; <br>Lee, S; <br>Azar, E; <br>Feng, C; <br>Anderson, K"	"<a href=""/scoping/document/47/808750"">808750</a>"	http://dx.doi.org/10.1061/(ASCE)CP.1943-5487.0000299	0
